adm,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,48 hours
AK,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
AR,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
CA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CO,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CT,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
DE,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,None,None,None,None,None,None,None,None,None,None,None
FL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
HI,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
